City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Mahanoro,MG,2021-03-14 21:27:45,-19.9,48.8,73.24,92,18,6.42
232,Isangel,VU,2021-03-14 21:27:46,-19.55,169.2667,78.8,94,75,7.7
233,Sitka,US,2021-03-14 21:27:47,57.0531,-135.33,32.0,51,20,14.97
234,Jumla,NP,2021-03-14 21:27:47,29.2747,82.1838,41.58,80,0,2.75
235,Smolyaninovo,RU,2021-03-14 21:27:48,43.2956,132.4675,21.2,86,0,6.71
236,Sept-Iles,CA,2021-03-14 21:27:48,50.2001,-66.3821,16.0,45,100,12.66
237,Sorland,NO,2021-03-14 21:27:48,67.667,12.6934,33.8,86,20,4.61
238,Trinidad,BO,2021-03-14 21:27:49,-14.8333,-64.9,84.2,79,75,9.22
239,Asyut,EG,2021-03-14 21:27:49,27.181,31.1837,66.2,45,0,6.91
240,Kourou,GF,2021-03-14 21:24:15,5.1552,-52.6478,75.2,94,75,2.3
241,Port-Cartier,CA,2021-03-14 21:27:50,50.0334,-66.8654,16.0,45,100,12.66
242,Harper,LR,2021-03-14 21:27:50,4.375,-7.7169,79.05,87,62,9.35
243,Gazojak,TM,2021-03-14 21:27:51,41.1875,61.4036,19.96,60,92,4.59
244,Cherskiy,RU,2021-03-14 21:27:51,68.75,161.3,-13.09,95,100,8.1
245,Glenwood Springs,US,2021-03-14 21:23:05,39.5505,-107.3248,36.0,85,90,5.73
246,Grand-Lahou,CI,2021-03-14 21:27:52,5.1367,-5.0242,80.67,82,100,6.93
247,Sadovoye,RU,2021-03-14 21:27:53,47.7764,44.5089,28.56,76,100,14.72
248,Filingue,NE,2021-03-14 21:27:53,14.3521,3.3168,81.93,21,33,4.54
249,Kokopo,PG,2021-03-14 21:27:54,-4.352,152.2633,78.66,77,96,2.75
250,Redlands,US,2021-03-14 21:27:54,34.0556,-117.1825,61.0,51,90,5.37
251,Shakhtinsk,KZ,2021-03-14 21:27:55,49.71,72.5872,-7.6,84,0,4.47
252,Paita,PE,2021-03-14 21:27:55,-5.0892,-81.1144,84.2,61,0,9.22
253,Sinegorye,RU,2021-03-14 21:27:56,62.0788,150.477,-9.6,89,1,3.67
254,Ostersund,SE,2021-03-14 21:27:56,63.1792,14.6357,26.6,100,90,4.61
255,Haines Junction,CA,2021-03-14 21:27:57,60.7522,-137.5108,5.0,39,68,3.44
256,Qaqortoq,GL,2021-03-14 21:27:58,60.7167,-46.0333,37.4,41,75,28.77
257,Jinka,ET,2021-03-14 21:27:58,5.65,36.65,72.37,48,18,6.62
258,Wencheng,CN,2021-03-14 21:27:59,33.0559,113.7978,59.97,94,99,4.9
259,Hanzhong,CN,2021-03-14 21:27:59,33.0728,107.0303,52.48,92,35,1.83
260,Murgab,TM,2021-03-14 21:26:17,37.4966,61.9714,33.8,69,90,4.61
261,Jieshi,CN,2021-03-14 21:28:00,22.8134,115.8257,69.01,72,14,12.66
262,Natal,BR,2021-03-14 21:28:00,-5.795,-35.2094,82.4,69,0,13.8
263,Magistralnyy,RU,2021-03-14 21:28:01,56.1725,107.4458,-1.93,91,6,3.09
264,Nyurba,RU,2021-03-14 21:28:02,63.2842,118.3319,-12.5,90,14,8.95
265,Asau,RO,2021-03-14 21:28:02,46.4333,26.4,44.01,52,100,3.78
266,Winslow,US,2021-03-14 21:28:03,35.0242,-110.6974,55.0,22,20,21.85
267,Santa Rosa Del Sur,CO,2021-03-14 21:28:03,7.9644,-74.0544,85.91,48,50,4.23
268,Barinas,VE,2021-03-14 21:28:04,8.6226,-70.2075,91.4,43,61,2.3
269,Panjab,AF,2021-03-14 21:28:04,34.388,67.0233,21.78,88,22,3.22
